Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
283670,2,Baralipara,,22,Village Employment Council,291796,0,17,MEGHALAYA
284246,2,Baranggittim,,22,Village Employment Council,293604,0,17,MEGHALAYA
286611,2,Barapathar,,22,Village Employment Council,293706,0,17,MEGHALAYA
288280,2,Barato,,22,Village Employment Council,291714,0,17,MEGHALAYA
283624,2,Barengapara,,22,Village Employment Council,291997,0,17,MEGHALAYA
286620,3,Baridua,,22,Village Employment Council,291715,0,17,MEGHALAYA
285824,2,Barigang,,22,Village Employment Council,291716,0,17,MEGHALAYA
286827,2,Barigaon,,22,Village Employment Council,293071,0,17,MEGHALAYA
284460,2,Barikgre,,22,Village Employment Council,291717,0,17,MEGHALAYA
284106,2,Baringgre Chambildam,,22,Village Employment Council,292150,0,17,MEGHALAYA
284103,2,Baringgre Nokat,,22,Village Employment Council,291718,0,17,MEGHALAYA
284102,2,Baringgre Wadro,,22,Village Employment Council,291718,0,17,MEGHALAYA
286740,2,Barkhatsari,,22,Village Employment Council,293391,0,17,MEGHALAYA
282345,2,Barmanpara,,22,Village Employment Council,293423,0,17,MEGHALAYA
288731,2,Barmanpara,,22,Village Employment Council,292762,0,17,MEGHALAYA
283567,2,Barongpara,,22,Village Employment Council,291719,0,17,MEGHALAYA
283529,2,Baruapara,,22,Village Employment Council,293582,0,17,MEGHALAYA
282921,2,Bashbari,,22,Village Employment Council,291720,0,17,MEGHALAYA
285529,2,Baspani,,22,Village Employment Council,291721,0,17,MEGHALAYA
283490,2,Basulpara,,22,Village Employment Council,291593,0,17,MEGHALAYA
283240,2,Basya Raypara,,22,Village Employment Council,291661,0,17,MEGHALAYA
282130,2,Batabari,,22,Village Employment Council,291722,0,17,MEGHALAYA
285177,2,Batabari,,22,Village Employment Council,292253,0,17,MEGHALAYA
282991,2,Batajolgaon,,22,Village Employment Council,291723,0,17,MEGHALAYA
288524,2,Bataw,,22,Village Employment Council,291724,0,17,MEGHALAYA
285484,2,Batlaban,,22,Village Employment Council,291725,0,17,MEGHALAYA
282247,2,Batragre,,22,Village Employment Council,291806,0,17,MEGHALAYA
284643,2,Bawe Duragre,,22,Village Employment Council,293308,0,17,MEGHALAYA
282685,2,Bawegre,,22,Village Employment Council,292177,0,17,MEGHALAYA
282716,2,Bawegre,,22,Village Employment Council,293522,0,17,MEGHALAYA
284574,2,Bawegre,,22,Village Employment Council,293484,0,17,MEGHALAYA
285345,2,Bedolboi,,22,Village Employment Council,292869,0,17,MEGHALAYA
283777,2,Bekbekgre Charadon,,22,Village Employment Council,291861,0,17,MEGHALAYA
283778,2,Bekbekgre Chimandal,,22,Village Employment Council,291861,0,17,MEGHALAYA
283779,2,Bekbekgre Jamanggre,,22,Village Employment Council,291861,0,17,MEGHALAYA
283547,2,Belabor,,22,Village Employment Council,291726,0,17,MEGHALAYA
286842,2,Belahari,,22,Village Employment Council,292547,0,17,MEGHALAYA
282084,2,Belbari,,22,Village Employment Council,291727,0,17,MEGHALAYA
282876,2,Belbari,,22,Village Employment Council,292213,0,17,MEGHALAYA
283024,2,Belbupara,,22,Village Employment Council,292104,0,17,MEGHALAYA
282533,2,Belguri,,22,Village Employment Council,291781,0,17,MEGHALAYA
286160,2,Belkhariang,,22,Village Employment Council,292948,0,17,MEGHALAYA
286693,2,Belkuri,,22,Village Employment Council,291728,0,17,MEGHALAYA
282321,2,Benabazar,,22,Village Employment Council,291690,0,17,MEGHALAYA
283123,2,Bengdapara,,22,Village Employment Council,291946,0,17,MEGHALAYA
283533,2,Bengkagittim,,22,Village Employment Council,291903,0,17,MEGHALAYA
283628,2,Bengpara,,22,Village Employment Council,291913,0,17,MEGHALAYA
283229,2,Beparipara,,22,Village Employment Council,292844,0,17,MEGHALAYA
286841,2,Bernongsai NongKhlaw,,22,Village Employment Council,291729,0,17,MEGHALAYA
286840,2,Bernongsai Nongspung,,22,Village Employment Council,291729,0,17,MEGHALAYA
283802,2,Berubari,,22,Village Employment Council,291730,0,17,MEGHALAYA
282319,2,Berupara,,22,Village Employment Council,291934,0,17,MEGHALAYA
282505,2,Berupara,,22,Village Employment Council,293579,0,17,MEGHALAYA
282962,2,Betasing Bazar,,22,Village Employment Council,291740,0,17,MEGHALAYA
282956,2,Betasing Block Hq.,,22,Village Employment Council,291740,0,17,MEGHALAYA
282997,2,Betasing Hajongpara,,22,Village Employment Council,291702,0,17,MEGHALAYA
282987,2,Betasing Kongpara,,22,Village Employment Council,291702,0,17,MEGHALAYA
285131,2,Betdigre,,22,Village Employment Council,291731,0,17,MEGHALAYA
287865,2,Betgora  A,,22,Village Employment Council,293339,0,17,MEGHALAYA
